"","word","vowel","stress","mean_pitch","mean_amplitude","min_time","max_time","duration","mean_tilt"
"256","Tifoso","v2","penultimate",184.26,0.0380326506209767,1,1.16,0.16,0.100013444022358
"257","Timone","v1","penultimate",239.52,0.0422933282582932,1,1.08,0.0800000000000001,0.0600926689267441
"258","Timone","v2","penultimate",185.18,0.0582602763903809,1,1.22,0.22,0.128517340804834
"259","Timore","v1","penultimate",251.68,0.0289325687226768,1,1.05,0.05,0.0648830002812238
"260","Timore","v2","penultimate",182.35,0.0559207315154796,1,1.23,0.23,0.123720865481218
"261","Tiranno","v1","penultimate",240.03,0.0476780986599137,1,1.09,0.0899999999999999,0.0712427862365865
"262","Tiranno","v2","penultimate",197.69,0.0549764461549815,1,1.14,0.14,0.193876725512697
"263","Tirante","v1","penultimate",284.48,0.0636186135906974,1,1.09,0.0899999999999999,0.0793859203162246
"264","Tirante","v2","penultimate",177.48,0.0432214578520523,1,1.08,0.0800000000000001,0.19741667539468
"265","Tonaca","v1","antipenultimate",254.92,0.0531165426562073,1,1.16,0.16,0.162504751429727
"266","Tonaca","v2","antipenultimate",171.02,0.0461987347037238,1,1.07,0.0700000000000001,0.150911737073096
"267","Tonale","v1","penultimate",234.46,0.0680259926638403,1,1.08,0.0800000000000001,0.11284755267917
"268","Tonale","v2","penultimate",202.54,0.0704855815717118,1,1.16,0.16,0.188377475735326
"269","Tossico","v1","antipenultimate",282.37,0.0588131642393733,1,1.08,0.0800000000000001,0.143761614926628
"270","Tossico","v2","antipenultimate",147.97,0.0251543914654023,1,1.02,0.0199999999999998,0.063262723342305
"271","Tossina","v1","penultimate",288.95,0.063250900686563,1,1.05,0.05,0.119554760344492
"272","Tossina","v2","penultimate",209.85,0.0361787772575977,1,1.14,0.14,0.063637354070757
"273","Umido","v1","antipenultimate",207.38,0.0427839657178585,1,1.14,0.14,0.112826522939584
"274","Umido","v2","antipenultimate",174.23,0.031478143080168,1,1.1,0.1,0.0655108661360895
"275","Umile","v1","antipenultimate",254.18,0.0734087234419415,1,1.11,0.11,0.0942463453651052
"276","Umile","v2","antipenultimate",186.12,0.0405386408303689,1,1.06,0.06,0.0660866861865451
"277","Valico","v1","antipenultimate",254.48,0.122053501511288,1,1.19,0.19,0.18467074497465
"278","Valico","v2","antipenultimate",168.57,0.0413422693338527,1,1.06,0.06,0.0522575521141983
"279","Valigia","v1","penultimate",230.37,0.166031278157146,1,1.07,0.0700000000000001,0.137160219046865
